Month,Australia,LatitudeInAustralia,LongitudeInAustralia,International,LatitudeInternational,LongitudeInternation,TotalFlight
20-Mar,Melbourne,-37.8136,144.9631,Auckland,-36.8473,174.7628,467
20-Mar,Melbourne,-37.8136,144.9631,Denpasar,-8.6722,115.2336,210
20-Mar,Melbourne,-37.8136,144.9631,Christchurch,-43.5308,172.6380,188
20-Mar,Melbourne,-37.8136,144.9631,Los Angeles,34.0522,-118.2433,117
20-Mar,Melbourne,-37.8136,144.9631,Wellington,-41.2851,174.7760,109
20-Mar,Melbourne,-37.8136,144.9631,Queenstown,-45.0327,168.6580,95
20-Mar,Melbourne,-37.8136,144.9631,Abu Dhabi,24.4882,54.3549,84
20-Mar,Melbourne,-37.8136,144.9631,Guangzhou,23.1291,113.2644,56
20-Mar,Melbourne,-37.8136,144.9631,Colombo,6.9344,79.8428,50
20-Mar,Melbourne,-37.8136,144.9631,London,51.5002,-0.1262,50
20-Mar,Melbourne,-37.8136,144.9631,Bandar Seri Begawan,4.8807,114.9223,50
20-Mar,Melbourne,-37.8136,144.9631,Nadi,-17.4800,177.4167,42
20-Mar,Melbourne,-37.8136,144.9631,Manila,14.5823,120.9748,40
20-Mar,Melbourne,-37.8136,144.9631,Vancouver,49.2636,-123.1386,29
20-Mar,Melbourne,-37.8136,144.9631,Santiago,-33.4500,-70.6667,23
20-Mar,Melbourne,-37.8136,144.9631,Phuket,7.8900,98.3982,20
20-Mar,Melbourne,-37.8136,144.9631,New Delhi,28.6139,77.2089,18
20-Mar,Melbourne,-37.8136,144.9631,Port Vila,-17.7365,168.3147,14
20-Mar,Melbourne,-37.8136,144.9631,Xiamen,24.4795,118.0895,10
20-Mar,Melbourne,-37.8136,144.9631,Nouméa,-22.2758,166.4580,10
20-Mar,Melbourne,-37.8136,144.9631,Honolulu,21.3099,-157.8582,10